"","Time","B2","C2","B3","C3","B4","C4","B5","C5"
"X","0","0.112","0.114","0.113","0.113","0.113","0.113","0.108","0.109"
"X.1","238.3","0.115","0.121","0.118","0.118","0.117","0.115","0.114","0.112"
"X.2","475.9","0.121","0.128","0.125","0.124","0.121","0.119","0.117","0.116"
"X.3","713.5","0.133","0.137","0.133","0.134","0.129","0.128","0.125","0.124"
"X.4","951.2","0.143","0.150","0.144","0.145","0.139","0.136","0.134","0.132"
"X.5","1188.8","0.155","0.162","0.158","0.159","0.149","0.146","0.145","0.142"
"X.6","1426.4","0.170","0.179","0.172","0.173","0.163","0.159","0.158","0.155"
"X.7","1664","0.186","0.196","0.188","0.190","0.177","0.174","0.171","0.169"
"X.8","1901.6","0.204","0.216","0.207","0.208","0.195","0.190","0.186","0.184"
"X.9","2139.2","0.224","0.238","0.227","0.228","0.211","0.206","0.204","0.201"
"X.10","2376.8","0.244","0.262","0.247","0.249","0.232","0.225","0.223","0.217"
"X.11","2614.4","0.266","0.287","0.268","0.272","0.252","0.242","0.24","0.237"
"X.12","2852","0.290","0.316","0.294","0.296","0.274","0.260","0.262","0.254"
"X.13","3089.6","0.317","0.347","0.322","0.326","0.300","0.283","0.282","0.276"
"X.14","3327.2","0.345","0.377","0.351","0.352","0.327","0.309","0.308","0.299"
"X.15","3564.8","0.370","0.403","0.375","0.379","0.357","0.332","0.334","0.323"
"X.16","3802.4","0.397","0.431","0.403","0.406","0.381","0.356","0.355","0.342"
"X.17","4040","0.413","0.444","0.419","0.422","0.401","0.372","0.373","0.36"
"X.18","4277.7","0.433","0.462","0.439","0.444","0.422","0.394","0.395","0.38"
"X.19","4515.3","0.444","0.474","0.451","0.455","0.440","0.409","0.411","0.396"
"X.20","4752.9","0.460","0.490","0.467","0.469","0.469","0.440","0.441","0.426"
"X.21","4990.5","0.477","0.507","0.485","0.491","0.490","0.458","0.462","0.447"
"X.22","5228.1","0.497","0.526","0.504","0.508","0.511","0.480","0.482","0.47"
"X.23","5465.7","0.519","0.547","0.525","0.527","0.533","0.502","0.506","0.491"
"X.24","5703.3","0.539","0.569","0.547","0.548","0.555","0.526","0.529","0.515"
"X.25","5941","0.561","0.593","0.570","0.573","0.578","0.548","0.551","0.537"
"X.26","6178.6","0.585","0.617","0.594","0.594","0.602","0.572","0.575","0.562"
"X.27","6416.2","0.610","0.641","0.617","0.620","0.629","0.602","0.601","0.589"
"X.28","6653.8","0.633","0.663","0.640","0.645","0.660","0.632","0.633","0.621"
"X.29","6891.4","0.654","0.687","0.661","0.665","0.686","0.657","0.658","0.647"
"X.30","7129","0.674","0.706","0.681","0.684","0.709","0.680","0.682","0.671"
"X.31","7366.6","0.691","0.724","0.700","0.703","0.731","0.702","0.704","0.693"
"X.32","7604.2","0.707","0.742","0.716","0.721","0.748","0.721","0.722","0.712"
"X.33","7841.8","0.727","0.764","0.737","0.741","0.767","0.739","0.74","0.731"
"X.34","8079.4","0.743","0.782","0.754","0.760","0.785","0.758","0.758","0.748"
"X.35","8317","0.759","0.798","0.769","0.774","0.807","0.781","0.78","0.772"
"X.36","8554.6","0.776","0.818","0.788","0.793","0.829","0.802","0.801","0.794"
"X.37","8792.2","0.794","0.835","0.805","0.808","0.845","0.820","0.819","0.811"
"X.38","9029.8","0.812","0.853","0.823","0.828","0.863","0.836","0.836","0.827"
"X.39","9267.5","0.837","0.880","0.846","0.854","0.881","0.853","0.851","0.846"
"X.40","9505.1","0.860","0.905","0.871","0.877","0.896","0.870","0.867","0.861"
"X.41","9742.7","0.884","0.924","0.893","0.898","0.913","0.887","0.884","0.878"
"X.42","9980.3","0.898","0.940","0.910","0.917","0.926","0.901","0.899","0.893"
"X.43","10217.8","0.914","0.957","0.925","0.930","0.943","0.918","0.914","0.91"
"X.44","10455.5","0.928","0.971","0.940","0.947","0.958","0.933","0.929","0.923"
"X.45","10693","0.941","0.984","0.951","0.957","0.971","0.945","0.941","0.938"
"X.46","10930.7","0.952","0.995","0.964","0.970","0.985","0.959","0.956","0.952"
"X.47","11168.3","0.965","1.011","0.976","0.984","1.000","0.974","0.969","0.965"
"X.48","11405.8","0.978","1.021","0.989","0.996","1.014","0.988","0.983","0.978"
"X.49","11643.5","0.989","1.034","1.000","1.006","1.027","1.000","0.997","0.992"
"X.50","11881.1","1.002","1.048","1.014","1.022","1.040","1.015","1.01","1.006"
"X.51","12118.7","1.011","1.058","1.023","1.025","1.055","1.027","1.022","1.019"
"X.52","12356.3","1.020","1.068","1.032","1.037","1.066","1.042","1.035","1.03"
"X.53","12593.9","1.028","1.078","1.041","1.042","1.078","1.054","1.047","1.042"
"X.54","12831.5","1.036","1.087","1.048","1.056","1.091","1.068","1.06","1.055"
"X.55","13069.1","1.043","1.095","1.056","1.061","1.105","1.080","1.072","1.07"
"X.56","13306.7","1.052","1.103","1.064","1.073","1.116","1.091","1.084","1.08"
"X.57","13544.3","1.060","1.112","1.072","1.076","1.129","1.104","1.097","1.091"
"X.58","13781.9","1.066","1.121","1.079","1.088","1.140","1.116","1.108","1.102"
"X.59","14019.5","1.075","1.130","1.088","1.092","1.153","1.127","1.119","1.114"
"X.60","14257.1","1.085","1.139","1.095","1.103","1.162","1.139","1.132","1.129"
"X.61","14494.7","1.092","1.144","1.104","1.107","1.175","1.149","1.143","1.137"
"X.62","14732.3","1.098","1.157","1.112","1.119","1.186","1.163","1.156","1.15"
"X.63","14969.9","1.109","1.161","1.120","1.126","1.196","1.172","1.165","1.159"
"X.64","15207.5","1.116","1.174","1.130","1.141","1.207","1.182","1.175","1.169"
"X.65","15445.1","1.126","1.182","1.140","1.143","1.216","1.193","1.184","1.181"
"X.66","15682.7","1.137","1.192","1.149","1.153","1.226","1.204","1.196","1.19"
"X.67","15920.3","1.144","1.199","1.156","1.160","1.234","1.211","1.204","1.2"
"X.68","16157.9","1.155","1.208","1.165","1.177","1.244","1.221","1.213","1.21"
"X.69","16395.5","1.162","1.216","1.174","1.178","1.254","1.230","1.221","1.216"
"X.70","16633.1","1.170","1.226","1.183","1.185","1.263","1.241","1.23","1.227"
"X.71","16870.7","1.176","1.232","1.188","1.196","1.271","1.249","1.24","1.236"
"X.72","17108.3","1.184","1.242","1.199","1.202","1.279","1.256","1.247","1.247"
"X.73","17345.9","1.194","1.250","1.208","1.210","1.289","1.265","1.255","1.255"
"X.74","17583.5","1.203","1.261","1.218","1.223","1.298","1.275","1.266","1.261"
"X.75","17821.1","1.211","1.270","1.224","1.231","1.304","1.285","1.272","1.269"
"X.76","18058.7","1.218","1.273","1.231","1.240","1.311","1.289","1.281","1.278"
"X.77","18296.3","1.227","1.282","1.239","1.244","1.319","1.300","1.287","1.286"
"X.78","18534","1.236","1.291","1.247","1.254","1.328","1.308","1.296","1.296"
"X.79","18771.6","1.241","1.296","1.253","1.259","1.337","1.314","1.302","1.304"
"X.80","19009.2","1.246","1.305","1.258","1.261","1.343","1.325","1.31","1.31"
"X.81","19246.8","1.256","1.310","1.267","1.273","1.353","1.334","1.32","1.318"
"X.82","19484.4","1.263","1.322","1.274","1.281","1.361","1.341","1.328","1.327"
"X.83","19722","1.271","1.327","1.282","1.293","1.371","1.353","1.338","1.338"
